Term,Translation,Context
adostasun,conformidad,Juridical Sciences & Law > Constitutional law
adostasun,acuerdo,Juridical Sciences & Law > Labour and Social Security law
auzi,pleito,Juridical Sciences & Law > Constitutional law
auzi,litigio,Juridical Sciences & Law > Labour and Social Security law
auzitegi,tribunal,Juridical Sciences & Law > Constitutional law
auzitegi,Juzgado,Juridical Sciences & Law > Labour and Social Security law
baimen,autorización,Juridical Sciences & Law > Constitutional law
baimen,permiso,Juridical Sciences & Law > Labour and Social Security law
barkamen,gracia; perdón,Juridical Sciences & Law > Constitutional law
barkamen,condonación,Juridical Sciences & Law > Labour and Social Security law
betearazle,ejecutivo,Juridical Sciences & Law > Constitutional law
betearazle,ejecutor ; ejecutora,Juridical Sciences & Law > Labour and Social Security law
bidezkotasun,legitimidad,Juridical Sciences & Law > Constitutional law
bidezkotasun,procedencia,Juridical Sciences & Law > Labour and Social Security law
egiaztatu,certificar,Juridical Sciences & Law > Constitutional law
egiaztatu,verificar,Juridical Sciences & Law > Labour and Social Security law
egitate,acción; acto,Juridical Sciences & Law > Constitutional law
egitate,veracidad,Juridical Sciences & Law > Labour and Social Security law
ekitaldi,sesión,Juridical Sciences & Law > Constitutional law
ekitaldi,actividad; acto,Juridical Sciences & Law > Labour and Social Security law
eragin,efecto,Juridical Sciences & Law > Constitutional law
eragin,provocar,Juridical Sciences & Law > Labour and Social Security law
erakunde,institución,Juridical Sciences & Law > Constitutional law
erakunde,organismo,Juridical Sciences & Law > Labour and Social Security law
eskatzaile,demandante,Juridical Sciences & Law > Constitutional law
eskatzaile,solicitante,Juridical Sciences & Law > Labour and Social Security law
iruzur,fraude,Juridical Sciences & Law > Constitutional law
iruzur,engaño,Juridical Sciences & Law > Labour and Social Security law
izapidetu,tramitar,Juridical Sciences & Law > Constitutional law
izapidetu,nombrar,Juridical Sciences & Law > Labour and Social Security law
muga,frontera; límite,Juridical Sciences & Law > Constitutional law
muga,tope,Juridical Sciences & Law > Labour and Social Security law
tokiko administrazio,Administración local; administración local,Juridical Sciences & Law > Constitutional law
tokiko administrazio,Administración Local,Juridical Sciences & Law > Labour and Social Security law
zerga,tributo,Juridical Sciences & Law > Constitutional law
zerga,impuesto,Juridical Sciences & Law > Labour and Social Security law
zigor,pena,Juridical Sciences & Law > Constitutional law
zigor,sanción,Juridical Sciences & Law > Labour and Social Security law
